rank,symbol,date,close,MA12,MA36,MA50,MA150,MA200,EMA10,52w_low,52w_high,cond1_price_above_150_200,cond2_ma150_above_ma200,cond3_ma200_trending_up_1m,cond4_ma50_above_150_200,cond5_price_above_ma50,cond6_30pct_above_52w_low,cond7_within_25pct_52w_high,cond9_price_above_ema10,fresh_ma12_cross_today,12m_return_pct,volume_signal,relative_volume,bull_snort,inside_bar,is_52w_high,is_52w_low,data_source,industry_group,industry,rs_percentile,cond8_rs_at_least_70,all_conditions_met,total_market_cap_cr,traded_value_cr,traded_volume,traded_val_pct_mc,rs_score,vcp_score,volume_score,newhigh_score,entry_score,group_score,entry_status,market_state,market_multiplier,minervini_score,grade
1,KMEW.NS,2026-07-13,2425.39990234375,2281.0,2098.4472215440537,2094.039990234375,1832.809325358073,1692.1769921875,2302.389447542345,787.4500122070312,2465.0,True,True,True,True,True,True,True,True,False,207.22653300912168,noise,88.22231301179336,False,False,True,False,,Engineering Services,Dredging,99.14493373236427,True,True,5966.48,36.39,150044.0,0.6099,79.4,58.3,71.1,96.8,77.7,95.45454545454545,actionable,unknown,1.0,77.9,A
2,SAKAR.NS,2026-07-13,863.5,826.7208302815756,814.848609076606,771.2399987792969,578.4529988606771,526.7707495117188,827.3412182434384,311.0,889.9500122070312,True,True,True,True,True,True,True,True,False,145.6614509246088,ppv,136.2964128586277,False,False,True,False,,Pharmaceuticals & Biotechnology,Pharmaceuticals,98.24711415134672,True,True,1895.37,15.88,183960.0,0.8381,65.9,55.4,87.5,94.1,96.3,79.54545454545455,actionable,unknown,1.0,77.7,A
3,SAILIFE.NS,2026-07-13,1272.0999755859375,1238.6333516438801,1201.8944498697917,1175.2860034179687,1018.5213313802084,984.2129986572265,1240.3536692895202,776.25,1288.0,True,True,True,True,True,True,True,True,False,62.80796254354326,ppv,87.57081787792337,False,False,True,False,,Pharmaceuticals & Biotechnology,Pharmaceuticals,93.84352287302265,True,True,27004.9,78.7,618687.0,0.2914,57.8,57.5,89.0,97.5,81.9,79.54545454545455,actionable,unknown,1.0,75.0,A
4,NGLFINE.NS,2026-07-13,3160.89990234375,3120.5833333333335,2947.802788628472,2792.8160107421877,2210.4239990234373,2018.5744995117188,3143.2349651157137,1173.8127642927202,3329.0,True,True,True,True,True,True,True,True,False,147.78421281233318,noise,22.25703265416918,False,True,False,False,,Pharmaceuticals & Biotechnology,Pharmaceuticals,98.3326207781103,True,True,1952.81,5.93,18753.0,0.3035,67.7,78.3,46.7,83.9,100.0,79.54545454545455,actionable,unknown,1.0,74.6,A
5,GRWRHITECH.NS,2026-07-13,7041.0,6871.125,6414.575005425348,6098.4119921875,4467.33466796875,4211.087502441406,6897.865872803324,2671.6173087131406,7185.0,True,True,True,True,True,True,True,True,False,93.35379062097945,noise,44.05794454833866,False,True,True,False,,Industrial Products,Plastic Products - Industrial,96.45147498931166,True,True,16357.93,78.7,111776.0,0.4811,82.2,71.2,71.5,96.0,100.0,27.27272727272727,actionable,unknown,1.0,74.2,A
6,SANSERA.NS,2026-07-13,3281.199951171875,3190.375,3021.655565049913,2878.0380126953123,2316.1960009765626,2118.454998779297,3191.5285217634264,1213.621511341324,3361.5,True,True,True,True,True,True,True,True,False,134.9726245723573,noise,81.79607393370955,False,False,False,False,,Auto Components,Auto Components & Equipments,97.94784095767422,True,True,20475.86,99.18,302282.0,0.4844,76.4,57.5,84.3,89.2,71.7,70.45454545454545,actionable,unknown,1.0,74.0,A
7,UFBL.NS,2026-07-13,741.4000244140625,694.7958323160807,607.2625003390842,543.4920001220703,335.03333333333336,303.50440002441405,708.8233694765797,172.33999633789062,763.3499755859375,True,True,True,True,True,True,True,True,False,141.3804457583447,dry,17.558375930299455,False,True,False,False,,Leisure Services,Restaurants,98.03334758443779,True,True,2897.86,29.93,403721.0,1.0329,84.2,40.0,87.0,88.2,100.0,40.909090909090914,actionable,unknown,1.0,72.2,A
8,UNIPARTS.NS,2026-07-13,694.7999877929688,665.2083333333334,646.4388936360677,618.1950036621093,521.5576035563151,506.5360089111328,672.2136001829107,310.00520202330097,722.7000122070312,True,True,True,True,True,True,True,True,False,84.38594698136039,red,106.63028106424912,False,False,False,False,,Auto Components,Auto Components & Equipments,95.59640872167593,True,True,3133.63,14.43,207741.0,0.4606,59.8,58.1,69.0,86.3,99.6,70.45454545454545,actionable,unknown,1.0,71.9,A
9,STARHEALTH.NS,2026-07-13,599.75,588.9958292643229,555.4125027126736,543.9960021972656,491.72933492024737,489.65325119018553,590.5252745002748,416.54998779296875,614.2000122070312,True,True,True,True,True,True,True,True,False,38.782831995980985,red,103.93135053328982,False,False,False,False,,Insurance,General Insurance,87.98631893971783,True,True,35289.5,44.8,747019.0,0.127,59.1,70.0,89.0,89.3,90.4,38.63636363636363,actionable,unknown,1.0,71.9,A
10,TITAN.NS,2026-07-13,4601.5,4466.601318359375,4283.857008192274,4255.466372070313,4180.503131510417,4056.439569091797,4508.881310856224,3292.2971645749917,4679.7998046875,True,True,True,True,True,True,True,True,False,34.51235931159966,noise,66.79176942938196,False,False,True,False,,Consumer Durables,"Gems, Jewellery And Watches",86.0624198375374,True,True,408173.88,504.47,1096318.0,0.1236,63.0,63.8,56.8,96.7,73.6,88.63636363636364,actionable,unknown,1.0,71.5,A
11,MENONBE.NS,2026-07-13,179.60000610351562,166.53249867757162,160.99777603149414,155.54479858398437,129.67306635538736,127.05844982147217,169.76357487002272,101.5,183.0,True,True,True,True,True,True,True,True,False,45.45343775509001,noise,52.878533754079434,False,False,True,False,,Auto Components,Auto Components & Equipments,90.25224454895255,True,True,1006.48,4.14,230493.0,0.4113,67.0,62.2,45.0,96.3,100.0,70.45454545454545,actionable,unknown,1.0,71.1,A
12,SWANDEF.NS,2026-07-13,2254.60009765625,2252.8750203450522,2101.3555704752603,2043.684013671875,1838.170000813802,1581.5460012817382,2234.917527563046,277.7900085449219,2489.0,True,True,True,True,True,True,True,True,False,711.6202988962632,ppv,184.955275457559,False,False,False,False,,Industrial Manufacturing,Ship Building & Allied Services,99.87174005985464,True,True,11877.72,4.18,18529.0,0.0352,69.7,44.1,87.5,75.2,100.0,56.81818181818182,actionable,unknown,1.0,71.1,A
