rank,symbol,date,close,MA12,MA36,MA50,MA150,MA200,EMA10,52w_low,52w_high,cond1_price_above_150_200,cond2_ma150_above_ma200,cond3_ma200_trending_up_1m,cond4_ma50_above_150_200,cond5_price_above_ma50,cond6_30pct_above_52w_low,cond7_within_25pct_52w_high,cond9_price_above_ema10,fresh_ma12_cross_today,12m_return_pct,volume_signal,relative_volume,bull_snort,inside_bar,is_52w_high,is_52w_low,data_source,industry_group,industry,rs_percentile,cond8_rs_at_least_70,all_conditions_met,total_market_cap_cr,traded_value_cr,traded_volume,traded_val_pct_mc,price_band,rs_score,vcp_score,volume_score,newhigh_score,entry_score,group_score,entry_status,market_state,market_multiplier,minervini_score,grade
1,TALBROAUTO.NS,2026-09-03,412.1499938964844,411.2583287556966,412.15694342719183,411.39799926757814,334.9847989908854,319.39659881591797,410.9860483869585,219.89999389648438,451.6000061035156,True,True,True,True,True,True,True,True,False,53.55403792879383,noise,37.526624108073634,False,False,False,False,,Auto Components,Auto Components & Equipments,89.43196829590488,True,True,2544.13,10.81,262180.0,0.4247,20,62.8,53.6,81.0,76.5,100.0,69.56521739130434,actionable,correction,0.65,47.1,C
2,SYRMA.NS,2026-09-03,1452.800048828125,1459.116678873698,1421.1420050726997,1416.126337890625,1115.9464607747395,1022.7632858276368,1454.7159141103932,633.8515990037583,1541.423280918013,True,True,True,True,True,True,True,False,False,84.07807745103726,noise,45.455117700973815,False,False,False,False,,Industrial Manufacturing,Industrial Products,94.31968295904888,True,True,27984.56,190.21,1309263.0,0.6797,20,56.7,31.6,94.0,82.5,100.0,80.43478260869566,actionable,correction,0.65,46.5,C
3,RSWM.NS,2026-09-03,217.27999877929688,200.7025006612142,207.9727783203125,204.85239959716796,175.48420049031574,168.52600009918214,203.35904300477316,120.0,238.0,True,True,True,True,True,True,True,True,False,39.13934021763708,ppv,259.0700646746199,False,False,False,False,,Textiles & Apparels,Other Textile Products,85.33685601056803,True,True,1023.43,3.32,152875.0,0.3246,5,55.8,45.2,90.0,76.6,100.0,67.3913043478261,actionable,correction,0.65,46.0,C
4,ICIL.NS,2026-09-03,437.3500061035156,437.2250010172526,415.5755310058594,417.0064501953125,331.9886783854167,317.93919723510743,436.428229862204,216.04358355223812,474.6499938964844,True,True,True,True,True,True,True,True,False,78.77999686878006,noise,28.210955190733028,False,True,False,False,,Textiles & Apparels,Other Textile Products,93.43901365037428,True,True,8661.91,56.44,1290394.0,0.6515,20,74.7,37.1,74.5,78.3,100.0,67.3913043478261,actionable,correction,0.65,45.7,C
5,GRWRHITECH.NS,2026-09-03,7100.0,7155.166666666667,7088.861111111111,7033.61,5453.050003255208,4930.901999511719,7153.713712652897,2690.699951171875,7990.0,True,True,True,True,True,True,True,False,False,144.53221408542416,noise,56.47087945313769,False,False,False,False,,Industrial Products,Plastic Products - Industrial,97.84236019374724,True,True,16495.0,48.73,68631.0,0.2954,20,77.3,44.1,63.2,71.7,100.0,60.86956521739131,actionable,correction,0.65,44.5,C
6,PARAS.NS,2026-09-03,1411.5,1456.7369893391926,1331.008592393663,1311.3693579101562,963.1159879557291,891.9912994384765,1426.282152914193,580.1009628646058,1583.9105379095645,True,True,True,True,True,True,True,False,False,112.59343588114339,noise,45.622616353531896,False,False,False,False,,Aerospace & Defense,Aerospace & Defense,96.52135623073535,True,True,11374.9,451.7,3200110.0,3.971,10,81.9,27.1,74.0,72.2,100.0,63.04347826086957,actionable,correction,0.65,44.4,C
7,HFCL.NS,2026-09-03,220.4199981689453,235.04083124796549,217.6891657511393,217.09799896240236,148.04793314615884,127.72474992752075,232.85670759615292,59.81999969482422,256.70001220703125,True,True,True,True,True,True,True,False,False,207.94649080255377,noise,30.03053623082058,False,False,False,False,,Telecom - Services,Telecom - Infrastructure,99.03126376045795,True,True,33730.07,565.82,25670287.0,1.6775,5,71.3,27.1,60.0,65.7,93.5,100.0,actionable,correction,0.65,43.8,C
8,NETWEB.NS,2026-09-03,5270.0,5282.1583251953125,4839.112209743924,4721.0258203125,4101.017942708333,3878.981300048828,5218.458282554483,2280.3787438776617,5813.0,True,True,True,True,True,True,True,True,False,108.68593404606747,green,155.90675989446953,False,False,False,False,,IT - Services,IT Enabled Services,96.16908850726553,True,True,31327.99,903.42,1714268.0,2.8837,20,61.1,39.0,57.5,75.3,86.1,91.30434782608695,actionable,correction,0.65,42.9,C
9,SOUTHBANK.NS,2026-09-03,47.70000076293945,45.67249997456869,45.96516482035319,45.74989791870117,41.97204030354818,41.520554084777835,46.01556463886532,27.836319281468388,49.41417107532308,True,True,True,True,True,True,True,True,False,63.506380619471074,ppv,212.786263946919,False,False,False,False,,Banks,Private Sector Bank,91.45750770585646,True,True,12494.07,73.11,15325996.0,0.5851,20,63.0,47.1,90.0,87.1,50.0,65.21739130434783,watch — approaching pivot,correction,0.65,42.9,C
10,RPTECH.NS,2026-09-03,815.6500244140625,821.2250010172526,822.2096998426649,807.4784680175782,574.0570385742187,517.3030220031739,817.8124861577102,280.0061054993126,965.4798808795799,True,True,True,True,True,True,True,False,False,186.64993635237605,noise,20.8704694070294,False,False,False,False,,IT - Hardware,Computers Hardware & Equipments,98.72302950242184,True,True,5416.38,112.83,1383355.0,2.0832,20,73.4,37.1,96.5,63.0,69.4,54.347826086956516,actionable,correction,0.65,42.6,C
