rank,symbol,date,close,MA12,MA36,MA50,MA150,MA200,EMA10,52w_low,52w_high,cond1_price_above_150_200,cond2_ma150_above_ma200,cond3_ma200_trending_up_1m,cond4_ma50_above_150_200,cond5_price_above_ma50,cond6_30pct_above_52w_low,cond7_within_25pct_52w_high,cond9_price_above_ema10,fresh_ma12_cross_today,12m_return_pct,volume_signal,relative_volume,bull_snort,inside_bar,is_52w_high,is_52w_low,data_source,industry_group,industry,rs_percentile,cond8_rs_at_least_70,all_conditions_met,total_market_cap_cr,traded_value_cr,traded_volume,traded_val_pct_mc,rs_score,vcp_score,volume_score,newhigh_score,entry_score,group_score,entry_status,market_state,market_multiplier,minervini_score,grade
1,RPTECH.NS,2026-07-10,783.0499877929688,770.687510172526,654.727783203125,616.9040032958984,453.88700113932293,422.73925064086916,762.1513249647771,274.03069500955513,812.8499755859375,True,True,True,True,True,True,True,True,False,165.27999470659603,noise,33.28853273769844,False,False,False,False,,IT - Hardware,Computers Hardware & Equipments,98.77899877899878,True,True,5160.27,94.71,1209468.0,1.8353,83.6,54.7,96.5,86.7,100.0,90.9090909090909,actionable,unknown,1.0,84.1,A
2,KMEW.NS,2026-07-10,2412.699951171875,2265.550008138021,2088.5055575900606,2086.2559912109373,1826.0309928385416,1686.396492919922,2275.0537909198106,787.4500122070312,2440.0,True,True,True,True,True,True,True,True,False,198.4352668367603,green,113.34145962694642,False,False,True,False,,Engineering Services,Dredging,98.98249898249898,True,True,5935.24,36.2,150044.0,0.6099,78.8,62.7,70.0,97.8,84.5,95.45454545454545,actionable,unknown,1.0,79.6,A
3,UFBL.NS,2026-07-10,755.7999877929688,690.5833282470703,599.8694441053602,535.9409997558594,331.31946655273435,301.04514991760254,701.5841128238058,172.33999633789062,763.3499755859375,True,True,True,True,True,True,True,True,False,138.83708599717207,ppv,75.82031004973715,False,False,True,False,,Leisure Services,Restaurants,98.04639804639804,True,True,2954.15,30.51,403721.0,1.0329,84.3,30.0,97.5,98.0,75.8,86.36363636363636,actionable,unknown,1.0,76.5,A
4,BAJAJCON.NS,2026-07-10,670.25,613.6166737874349,589.8333350287544,571.1110009765625,419.41600158691404,380.90545097351077,625.4725607328282,220.10000610351562,679.8499755859375,True,True,True,True,True,True,True,True,False,181.05082690698876,ppv,231.97727455656732,False,False,True,False,,Personal Products,Personal Care,98.9010989010989,True,True,8754.69,87.15,1300206.0,0.9954,67.4,73.8,95.0,97.2,35.0,93.18181818181817,actionable,unknown,1.0,76.2,A
5,GOLDIAM.NS,2026-07-10,378.0,341.7531255086263,333.79895867241754,323.3092510986328,281.234580485026,280.36281082153323,343.04674468616764,198.75,380.5874938964844,True,True,True,True,True,True,True,True,False,46.97315818176382,ppv,672.9659574032037,True,False,True,False,,Consumer Durables,"Gems, Jewellery And Watches",90.51689051689051,True,True,5691.06,50.47,1335266.0,0.8869,77.9,70.2,79.5,98.6,50.0,84.0909090909091,watch — approaching pivot,unknown,1.0,75.9,A
6,UNIPARTS.NS,2026-07-10,704.9500122070312,661.6291656494141,642.790283203125,615.1080041503906,520.1528572591146,505.00009674072265,667.1944029362312,310.00520202330097,710.8499755859375,True,True,True,True,True,True,True,True,False,85.80195465331713,ppv,134.60017298131535,False,False,True,False,,Auto Components,Auto Components & Equipments,95.8892958892959,True,True,3179.41,14.64,207741.0,0.4606,60.9,61.0,90.0,98.3,80.9,72.72727272727273,actionable,unknown,1.0,75.4,A
7,STARHEALTH.NS,2026-07-10,603.25,587.1083272298177,553.276390923394,542.3990026855469,490.83100158691406,488.8980012512207,588.475335500336,416.54998779296875,614.2000122070312,True,True,True,True,True,True,True,True,False,41.04512106209446,noise,62.336314993696654,False,False,True,False,,Insurance,General Insurance,88.97028897028896,True,True,35495.44,45.06,747019.0,0.127,72.7,70.0,89.0,96.4,82.9,45.45454545454545,actionable,unknown,1.0,75.4,A
8,SYRMA.NS,2026-07-10,1451.9000244140625,1403.9750061035156,1278.1819559733074,1211.8500073242187,934.146669514974,905.9310021972656,1399.6367540101742,607.6751239105713,1517.699951171875,True,True,True,True,True,True,True,True,False,136.46063079945557,noise,80.17809000032634,False,False,True,False,,Industrial Manufacturing,Industrial Products,98.00569800569801,True,True,27967.22,227.54,1567162.0,0.8136,68.1,50.8,94.0,91.3,100.0,57.95454545454546,actionable,unknown,1.0,75.3,A
9,SANSERA.NS,2026-07-10,3304.0,3179.125,3009.7833455403647,2862.2100146484377,2305.67466796875,2109.5259991455077,3171.6015374504377,1213.621511341324,3339.0,True,True,True,True,True,True,True,True,False,136.41955978832763,green,101.19260105579382,False,False,True,False,,Auto Components,Auto Components & Equipments,97.96499796499796,True,True,20618.14,99.87,302282.0,0.4844,76.5,57.5,83.3,97.9,62.7,72.72727272727273,actionable,unknown,1.0,73.9,A
10,TALBROAUTO.NS,2026-07-10,408.1000061035156,412.62916564941406,375.3166664971246,361.65299926757814,298.52779866536457,296.3480383300781,406.6621773052905,219.89999389648438,435.0,True,True,True,True,True,True,True,True,False,39.09466600055773,noise,28.678513184637556,False,False,False,False,,Auto Components,Auto Components & Equipments,88.4004884004884,True,True,2519.13,14.74,361191.0,0.5851,59.0,58.3,81.5,81.6,100.0,72.72727272727273,actionable,unknown,1.0,73.8,A
11,TMB.NS,2026-07-10,801.5999755859375,753.2999979654948,740.6855095757378,726.2091772460938,638.6361922200521,594.1623536682129,765.1630111203293,405.09227596916213,807.9500122070312,True,True,True,True,True,True,True,True,False,89.58661950126996,ppv,113.89318923543814,False,False,True,False,,Banks,Private Sector Bank,96.05209605209605,True,True,12693.45,37.48,467536.0,0.2953,76.7,57.5,81.0,98.4,93.4,40.909090909090914,actionable,unknown,1.0,73.4,A
12,SWANDEF.NS,2026-07-10,2233.0,2249.6250203450522,2092.1500108506943,2034.7280126953126,1830.7539998372397,1573.0212509155274,2230.54362309789,264.57000732421875,2489.0,True,True,True,True,True,True,True,True,False,744.011013411493,ppv,335.2777836064657,True,True,False,False,,Industrial Manufacturing,Ship Building & Allied Services,99.87789987789988,True,True,11763.92,4.14,18529.0,0.0352,69.7,54.1,87.5,73.4,100.0,57.95454545454546,actionable,unknown,1.0,73.0,A
13,TITAN.NS,2026-07-10,4584.39990234375,4439.581705729167,4268.99469672309,4250.410981445312,4175.079601236979,4050.6630285644533,4488.299379935385,3292.2971645749917,4679.7998046875,True,True,True,True,True,True,True,True,False,33.654213879318526,noise,56.64576944425581,False,True,False,False,,Consumer Durables,"Gems, Jewellery And Watches",86.03988603988604,True,True,406657.02,502.6,1096318.0,0.1236,62.9,73.8,55.7,89.9,78.5,84.0909090909091,actionable,unknown,1.0,72.5,A
14,SAILIFE.NS,2026-07-10,1265.0,1234.4000244140625,1197.4972296820747,1171.4780029296876,1015.8239982096354,982.2239987182617,1233.298934556983,776.25,1287.0,True,True,True,True,True,True,True,True,False,60.83916083916083,ppv,141.96613360160282,False,False,True,False,,Pharmaceuticals & Biotechnology,Pharmaceuticals,93.61009361009361,True,True,26854.18,78.26,618687.0,0.2914,57.0,57.5,87.4,96.6,89.1,57.95454545454546,actionable,unknown,1.0,72.3,A
15,NEOGEN.NS,2026-07-10,2085.10009765625,1969.7833557128906,1924.4250047471787,1859.15,1478.4679976399739,1456.0949990844726,1993.7745870657573,966.7000122070312,2106.0,True,True,True,True,True,True,True,True,False,31.172339043736063,green,121.1282723046883,False,False,True,False,,Chemicals & Petrochemicals,Specialty Chemicals,85.02238502238502,True,True,5709.35,24.93,119576.0,0.4367,65.1,62.0,65.0,98.0,100.0,52.27272727272727,actionable,unknown,1.0,71.7,A
16,PRIVISCL.NS,2026-07-10,3662.800048828125,3635.0750122070312,3449.972222222222,3398.802001953125,3096.961339518229,3035.889505615234,3625.3213458762384,2173.199951171875,3760.0,True,True,True,True,True,True,True,True,False,55.51654669099868,noise,49.1852725972277,False,False,False,False,,Chemicals & Petrochemicals,Specialty Chemicals,92.75539275539275,True,True,14307.89,37.21,101594.0,0.2601,60.5,63.8,70.7,88.8,100.0,52.27272727272727,actionable,unknown,1.0,71.1,A
17,STYLAMIND.NS,2026-07-10,3284.800048828125,3228.2833455403647,3117.9944458007812,2960.8,2459.0686751302082,2331.1140075683593,3201.5293775733717,1594.0999755859375,3357.300048828125,True,True,True,True,True,True,True,True,False,101.31152461388537,ppv,148.0532801186165,False,False,False,False,,Consumer Durables,Plywood Boards/ Laminates,96.74399674399675,True,True,5570.61,16.56,50421.0,0.2973,68.3,45.0,96.0,89.7,50.0,84.0909090909091,watch — approaching pivot,unknown,1.0,70.8,A
18,HFCL.NS,2026-07-10,217.25,215.21666463216147,194.0283326043023,179.536199798584,108.48613334655762,100.01580018997193,214.60210517604895,59.81999969482422,229.5,True,True,True,True,True,True,True,True,False,161.83839933470514,noise,30.39496802130617,False,False,False,False,,Telecom - Services,Telecom - Infrastructure,98.65689865689866,True,True,33244.98,1150.55,52959691.0,3.4608,69.9,38.1,60.0,83.3,100.0,88.63636363636364,actionable,unknown,1.0,70.7,A
19,SHRIPISTON.NS,2026-07-10,4189.60009765625,4182.149983723958,3733.0833265516494,3654.07599609375,3283.3180647786457,3128.704161376953,4161.339759194469,2297.412275557539,4421.5,True,True,True,True,True,True,True,True,False,67.63547323514172,noise,45.34982068933409,False,False,False,False,,Auto Components,Auto Components & Equipments,94.54619454619456,True,True,18455.12,28.31,67572.0,0.1534,65.9,38.8,96.5,83.5,76.5,72.72727272727273,actionable,unknown,1.0,70.7,A
20,KODYTECH.NS,2026-07-10,1216.75,1094.5958353678386,989.9027743869358,939.8969982910156,861.5929988606771,821.4154995727539,1113.8143378586942,556.0499877929688,1237.699951171875,True,True,True,True,True,True,True,True,False,62.25496204653582,ppv,1110.2756892230577,True,False,True,False,,IT - Software,Computers - Software & Consulting,93.73219373219374,True,True,1551.06,1.94,15945.0,0.1251,85.4,34.0,93.8,96.6,37.4,81.81818181818183,actionable,unknown,1.0,70.2,A
21,RBLBANK.NS,2026-07-10,380.6499938964844,366.69166056315106,360.397221883138,352.6560009765625,323.6573337809245,318.81350051879883,368.1112196172689,242.36866167193014,381.70001220703125,True,True,True,True,True,True,True,True,False,52.84423681757655,green,181.29764229806744,False,False,True,False,,Banks,Private Sector Bank,91.85999185999187,True,True,58945.86,207.46,5450211.0,0.352,51.0,63.8,77.0,99.4,100.0,40.909090909090914,actionable,unknown,1.0,69.9,B
22,HAPPYFORGE.NS,2026-07-10,1582.300048828125,1528.9666748046875,1448.513895670573,1433.1120043945311,1270.634667561849,1201.0149996948242,1531.9968390327724,862.0499877929688,1598.300048828125,True,True,True,True,True,True,True,True,False,67.37636090439933,noise,51.867538529786984,False,False,True,False,,Industrial Products,Castings & Forgings,94.5054945054945,True,True,14933.55,18.29,115614.0,0.1225,71.5,57.5,70.0,98.0,100.0,31.818181818181817,actionable,unknown,1.0,69.9,B
