symbol,date,close,MA12,MA36,MA50,MA150,MA200,EMA10,52w_low,52w_high,cond1_price_above_150_200,cond2_ma150_above_ma200,cond3_ma200_trending_up_1m,cond4_ma50_above_150_200,cond5_price_above_ma50,cond6_30pct_above_52w_low,cond7_within_25pct_52w_high,cond9_price_above_ema10,fresh_ma12_cross_today,12m_return_pct,volume_signal,relative_volume,bull_snort,inside_bar,is_52w_high,is_52w_low,data_source,name,industry_group,industry
542155.BO,2026-09-16,0.9700000286102295,0.9375000049670538,0.9713888896836175,0.9992000007629395,1.11953333457311,1.3505000048875808,0.9455579413354962,0.9100000262260437,2.2899999618530273,False,False,False,False,False,False,False,True,False,-49.740929794188546,green,140.8450704225352,False,False,False,False,,Diksha Greens,Commercial Services & Supplies,Trading & Distributors
543400.BO,2026-09-16,2.390000104904175,2.4225000143051147,2.4480555719799466,2.482400016784668,3.2228666718800865,3.7074500060081483,2.4288995120799806,2.1600000858306885,8.170000076293945,False,False,False,False,False,False,False,False,False,-65.8571413585118,green,156.25,False,False,False,False,,Omnipotent,Petroleum Products,Refineries & Marketing
538765.BO,2026-09-16,2.1500000953674316,2.1558333039283752,2.3191666735543146,2.4373999977111818,5.256466614405314,5.805699961185455,2.198571370516291,1.9199999570846558,8.239999771118164,False,False,False,False,False,False,False,False,False,-64.75409624622057,noise,31.84713375796178,False,False,False,False,,JLA Infraville,Retailing,Internet & Catalogue Retail
543613.BO,2026-09-16,5.989999771118164,5.671666741371155,5.143055544959174,5.185400009155273,6.176000022888184,6.683800008296966,5.845912562349486,3.5999999046325684,13.399999618530273,False,False,False,False,True,True,False,True,False,-54.96240838183628,red,147.67932489451476,False,False,False,False,,Mafia Trends,Retailing,Speciality Retail
JALAN.NS,2026-09-16,1.75,1.8166666428248088,1.7569444345103369,1.7699999928474426,2.058666671117147,2.38375,1.802598026965675,1.5,5.050000190734863,False,False,False,False,False,False,False,False,False,-61.53846315075955,dry,8.25082508250825,False,False,False,False,,Jalan Transol.,Transport Services,Logistics Solution Provider
539026.BO,2026-09-16,6.800000190734863,6.708333412806193,7.086388945579529,7.4038001155853275,9.345266771316528,9.547300097942353,6.756521318530102,4.5,10.59000015258789,False,False,False,False,False,True,False,True,False,41.66666501098215,dry,0.0,False,False,False,False,,SSPN FINANCE,Finance,Other Financial Services
535917.BO,2026-09-16,4.25,4.43750003973643,4.245833370420668,4.153000020980835,4.35413338025411,4.4933000183105465,4.410436756180789,3.299999952316284,5.28000020980835,False,False,False,False,True,False,True,False,False,-0.23474714423807885,dry,0.0,False,False,False,False,,GCM Commodity,Finance,Other Financial Services
539099.BO,2026-09-16,4.010000228881836,3.9800002177556357,3.9600002103381686,3.724600143432617,3.9472667249043782,4.080750045776367,3.989425506543891,2.930000066757202,7.480000019073486,False,False,False,False,True,True,False,True,False,-33.1666628519694,dry,0.0,False,False,False,False,,Athena Construc.,Realty,"Residential, Commercial Projects"
537582.BO,2026-09-16,1.2000000476837158,1.173333356777827,1.2197222411632538,1.2738000226020814,1.4023333390553792,1.4833500075340271,1.1878375012710507,1.100000023841858,2.799999952316284,False,False,False,False,False,False,False,True,False,-39.08629288039774,dry,0.0,False,False,False,False,,Unishire Urban,Realty,"Residential, Commercial Projects"
543536.BO,2026-09-16,4.53000020980835,4.494166851043701,4.726666702164544,4.702399988174438,5.385866635640462,6.141599974632263,4.5417269700917196,4.210000038146973,9.649999618530273,False,False,False,False,False,False,False,False,False,-53.05699078879048,dry,0.0,False,False,False,False,,Silver Pearl,Leisure Services,Hotels & Resorts
