rank,symbol,date,close,MA12,MA36,MA50,MA150,MA200,EMA10,52w_low,52w_high,cond1_price_above_150_200,cond2_ma150_above_ma200,cond3_ma200_trending_up_1m,cond4_ma50_above_150_200,cond5_price_above_ma50,cond6_30pct_above_52w_low,cond7_within_25pct_52w_high,cond9_price_above_ema10,fresh_ma12_cross_today,12m_return_pct,volume_signal,relative_volume,bull_snort,inside_bar,is_52w_high,is_52w_low,data_source,industry_group,industry,rs_percentile,cond8_rs_at_least_70,all_conditions_met,total_market_cap_cr,traded_value_cr,traded_volume,traded_val_pct_mc,price_band,rs_score,vcp_score,volume_score,newhigh_score,entry_score,group_score,entry_status,market_state,market_multiplier,minervini_score,grade
1,RPTECH.NS,2026-07-28,785.2999877929688,766.6916656494141,729.665283203125,677.3020043945312,488.23033447265624,449.45250061035154,771.1887263341093,274.03069500955513,812.8499755859375,True,True,True,True,True,True,True,True,False,164.08799022905504,noise,23.032984805196342,False,False,False,False,,IT - Hardware,Computers Hardware & Equipments,98.81632653061224,True,True,5175.1,95.53,1216486.0,1.846,—,83.8,46.0,96.5,87.2,100.0,78.26086956521739,actionable,unknown,1.0,80.5,A
2,DCBBANK.NS,2026-07-28,195.10000610351562,189.6883341471354,186.1766997443305,183.3764044189453,181.916650390625,177.39734481811524,189.8830120125702,118.51625759687853,204.74000549316406,True,True,True,True,True,True,True,True,False,40.18519117472119,ppv,149.78362639136031,False,True,False,False,,Banks,Private Sector Bank,89.6734693877551,True,True,6283.73,24.32,1246599.0,0.387,—,66.4,65.4,92.5,84.6,72.4,69.56521739130434,actionable,unknown,1.0,74.5,A
3,STARHEALTH.NS,2026-07-28,584.0,588.5125020345052,573.9611121283638,560.5310021972656,500.77833475748696,496.8410012817383,585.970502636575,416.54998779296875,623.9000244140625,True,True,True,True,True,True,True,False,False,35.68773426619936,noise,51.212663854511554,False,True,False,False,,Insurance,General Insurance,88.24489795918367,True,True,34362.76,43.08,737735.0,0.1254,—,60.1,80.0,89.0,81.2,100.0,34.78260869565217,actionable,unknown,1.0,74.0,A
4,UNIPARTS.NS,2026-07-28,689.2999877929688,688.1208241780599,670.4527774386936,649.7410009765625,536.8447326660156,522.6190895080566,686.9014245712186,310.005232163007,722.7000122070312,True,True,True,True,True,True,True,True,False,96.27831273685372,dry,16.64009610305933,False,False,False,False,,Auto Components,Auto Components & Equipments,97.10204081632654,True,True,3108.82,14.76,214158.0,0.4748,—,75.3,51.9,69.0,84.8,100.0,67.3913043478261,actionable,unknown,1.0,73.1,A
5,CONFIPET.NS,2026-07-28,77.48999786376953,75.94333394368489,73.33194478352864,71.63640007019043,51.200066808064776,48.171750144958494,76.55146224198725,28.059999465942383,83.0,True,True,True,True,True,True,True,True,False,45.80435100299653,red,102.01565255691575,False,False,False,False,,Gas,LPG/CNG/PNG/LNG Supplier,91.06122448979592,True,True,2574.54,25.41,3279071.0,0.987,—,69.1,43.0,77.0,80.7,100.0,73.91304347826086,actionable,unknown,1.0,72.1,A
6,SANSERA.NS,2026-07-28,3177.199951171875,3246.2083129882812,3124.2305569118926,3052.9480029296874,2430.844000651042,2217.6649975585938,3226.312197362547,1213.621511341324,3457.5,True,True,True,True,True,True,True,False,False,131.78134583671803,noise,38.83307798221684,False,False,False,False,,Auto Components,Auto Components & Equipments,98.44897959183673,True,True,19826.86,93.48,294213.0,0.4715,—,68.2,47.1,78.0,77.8,100.0,67.3913043478261,actionable,unknown,1.0,71.5,A
7,RRKABEL.NS,2026-07-28,2576.89990234375,2399.449991861979,2330.0353800455728,2247.959792480469,1746.1837369791667,1649.273848876953,2434.556857210466,1158.746695475609,2775.0,True,True,True,True,True,True,True,True,False,79.1457981115913,ppv,524.2632121856012,False,False,True,False,,Industrial Products,Cables - Electricals,95.79591836734694,True,True,29146.16,202.45,785651.0,0.6946,—,65.8,49.6,100.0,85.7,80.5,41.30434782608695,actionable,unknown,1.0,69.6,B
8,EMCURE.NS,2026-07-28,1892.199951171875,1851.8333231608074,1815.1277669270833,1789.1799926757812,1622.6993302408855,1561.491997680664,1872.2953536274763,1260.0,1960.0,True,True,True,True,True,True,True,True,False,33.0231984965649,red,166.89129714172776,False,False,False,False,,Pharmaceuticals & Biotechnology,Pharmaceuticals,87.34693877551021,True,True,35891.28,41.48,219238.0,0.1156,—,50.8,57.5,94.0,87.1,100.0,32.608695652173914,actionable,unknown,1.0,68.9,B
9,RISHABH.NS,2026-07-28,602.9500122070312,641.2709197998047,605.7159406873915,582.394287109375,472.8363435872396,454.2800280761719,630.9606045986394,271.43861567814594,690.6084995263309,True,True,True,True,True,True,True,False,False,110.13144258847075,noise,42.17263680735145,False,False,False,False,,Electrical Equipment,Other Electrical Equipment,97.59183673469389,True,True,2329.1,15.58,258390.0,0.6689,—,68.0,63.1,55.0,68.6,97.8,65.21739130434783,actionable,unknown,1.0,68.8,B
10,KMEW.NS,2026-07-28,2516.0,2424.2916666666665,2251.147220187717,2170.1999975585936,1888.5639925130208,1760.0559924316406,2421.8523058464675,797.5,2540.0,True,True,True,True,True,True,True,True,False,186.78901573104122,noise,80.96283758367765,False,False,True,False,,Engineering Services,Dredging,99.0204081632653,True,True,6189.36,35.69,141846.0,0.5766,—,69.0,57.0,72.1,98.1,29.3,93.47826086956522,actionable,unknown,1.0,68.4,B
11,GRWRHITECH.NS,2026-07-28,7120.5,6963.125,6761.847222222223,6479.087998046875,4715.011336263021,4426.538001708985,6971.302936470984,2671.6173087131406,7199.5,True,True,True,True,True,True,True,True,False,90.13110674684026,noise,56.033308287438786,False,False,False,False,,Industrial Products,Plastic Products - Industrial,96.6530612244898,True,True,16542.63,74.09,104058.0,0.4479,—,72.9,45.2,71.5,91.8,97.7,41.30434782608695,actionable,unknown,1.0,68.4,B
12,SHRIPISTON.NS,2026-07-28,4270.2998046875,4245.2850341796875,4028.8072102864585,3834.5202001953126,3379.5406998697918,3220.2308251953127,4250.409407027439,2294.657559959507,4522.7998046875,True,True,True,True,True,True,True,True,False,78.86297449135537,noise,76.83638210514904,False,False,False,False,,Auto Components,Auto Components & Equipments,95.75510204081633,True,True,18810.6,26.19,61333.0,0.1392,—,70.3,44.9,96.5,82.8,51.5,67.3913043478261,actionable,unknown,1.0,68.2,B
13,OFSS.NS,2026-07-28,11334.0,11374.166666666666,10673.944444444445,10473.85,8470.674895833334,8366.794140625,11192.12994239435,6060.863819699785,11979.0,True,True,True,True,True,True,True,True,False,32.4472639566711,green,128.2801224608918,False,False,False,False,,IT - Software,Software Products,86.9795918367347,True,True,98691.38,388.46,342739.0,0.3936,—,47.3,43.0,79.4,83.2,84.1,86.95652173913044,actionable,unknown,1.0,68.0,B
14,CUB.NS,2026-07-28,238.13999938964844,224.14333470662436,212.6903487311469,205.76980102539062,203.50448364257812,200.25681274414063,225.0549398629983,145.125,245.3800048828125,True,True,True,True,True,True,True,True,False,53.13498688219804,ppv,703.1970061303589,True,False,True,False,,Banks,Private Sector Bank,92.53061224489795,True,True,23594.61,71.33,2995428.0,0.3023,—,72.9,38.7,85.0,94.1,50.0,69.56521739130434,watch — approaching pivot,unknown,1.0,66.8,B
15,NESTLEIND.NS,2026-07-28,1491.800048828125,1445.8583374023438,1424.405565049913,1418.0533325195313,1337.928321126302,1313.832328491211,1454.9792410625478,1073.713620089896,1510.0,True,True,True,True,True,True,True,True,False,29.80183615760701,ppv,263.3900065468914,False,False,False,False,,Food Products,Packaged Foods,86.16326530612245,True,True,287665.94,299.26,2006009.0,0.104,—,59.0,55.4,78.6,91.6,78.5,45.65217391304348,actionable,unknown,1.0,66.6,B
16,TEXINFRA.NS,2026-07-28,114.41000366210938,113.71500015258789,109.51500044928656,106.24500045776367,99.96646708170573,99.95135021209717,113.51500859200756,82.5,118.0,True,True,True,True,True,True,True,True,False,14.524622650140717,noise,73.34281338875519,False,False,False,False,,Commercial Services & Supplies,Diversified Commercial Services,78.24489795918367,True,True,1457.89,1.62,141194.0,0.1108,—,49.2,65.6,78.5,87.9,77.6,47.82608695652174,actionable,unknown,1.0,66.5,B
17,SYRMA.NS,2026-07-28,1306.0,1367.5250040690105,1359.8972269694011,1289.070009765625,984.6733365885417,938.7727523803711,1347.2654831200784,634.5,1517.699951171875,True,True,True,True,True,True,True,False,False,85.30201733434124,noise,70.20431702950832,False,False,False,False,,Industrial Manufacturing,Industrial Products,96.24489795918367,True,True,25156.82,178.96,1370304.0,0.7114,—,61.7,47.8,91.5,66.1,50.0,82.6086956521739,watch — approaching pivot,unknown,1.0,66.2,B
18,UFBL.NS,2026-07-28,699.6500244140625,696.8083292643229,669.3097195095486,616.7749987792969,372.57826629638674,328.82674980163574,688.372153733266,172.33999633789062,763.3499755859375,True,True,True,True,True,True,True,True,False,121.23320930088934,noise,23.162477751003017,False,False,False,False,,Leisure Services,Restaurants,98.16326530612245,True,True,2734.68,27.64,395094.0,1.0108,—,74.7,25.0,87.0,77.3,50.0,91.30434782608695,watch — approaching pivot,unknown,1.0,66.1,B
