symbol,date,close,MA12,MA36,MA50,MA150,MA200,EMA10,52w_low,52w_high,cond1_price_above_150_200,cond2_ma150_above_ma200,cond3_ma200_trending_up_1m,cond4_ma50_above_150_200,cond5_price_above_ma50,cond6_30pct_above_52w_low,cond7_within_25pct_52w_high,cond9_price_above_ema10,fresh_ma12_cross_today,12m_return_pct,volume_signal,relative_volume,bull_snort,inside_bar,is_52w_high,is_52w_low,data_source,industry_group,industry,rs_percentile,cond8_rs_at_least_70,all_conditions_met,total_market_cap_cr,traded_value_cr,traded_volume,traded_val_pct_mc,price_band
ACCORD.NS,2026-07-30,202.35000610351562,203.3833376566569,162.41666751437717,134.23300086975098,66.1890002822876,55.35475023269653,200.9216611421021,19.850000381469727,211.0,True,True,True,True,True,True,True,True,False,789.4505762791896,dry,0.0,False,False,False,False,,Telecom - Services,Other Telecom Services,99.9594155844156,True,True,10.0,0.02,7815.0,0.2251,—
SWANDEF.NS,2026-07-31,2473.699951171875,2364.4166666666665,2237.661122639974,2169.4580126953124,1942.1900024414062,1703.2150018310547,2387.503773051177,321.55999755859375,2500.0,True,True,True,True,True,True,True,True,False,669.2809957560484,ppv,222.70844447557,False,False,True,False,,Industrial Manufacturing,Ship Building & Allied Services,99.91883116883116,True,True,13031.98,4.86,19628.0,0.0373,—
CUPID.NS,2026-07-31,230.6199951171875,218.47916666666666,199.70861053466797,181.56659912109376,123.2428665669759,108.57359987258911,222.5107305937075,29.600000381469727,234.5,True,True,True,True,True,True,True,True,False,664.047160749414,noise,39.58695633799128,False,True,False,False,,Personal Products,Personal Care,99.87824675324676,True,True,31010.56,650.92,28224836.0,2.099,—
SANGINITA.NS,2026-07-31,65.36000061035156,60.948333422342934,49.328611056009926,43.99180004119873,25.597066713968914,21.773150038719177,62.04589079618594,9.09000015258789,68.0199966430664,True,True,True,True,True,True,True,True,False,543.9409169141992,red,865.3458174185129,False,False,False,False,,Chemicals & Petrochemicals,Specialty Chemicals,99.83766233766234,True,True,169.29,0.9,138117.0,0.5332,—
SIGMAADV.NS,2026-07-31,623.5499877929688,556.9416656494141,551.9166624281141,516.4979968261719,307.4022662353516,277.3646001434326,574.6008683650575,107.0999984741211,638.0999755859375,True,True,True,True,True,True,True,True,False,482.2128820511973,noise,66.31375660867177,False,True,True,False,,Aerospace & Defense,Aerospace & Defense,99.79707792207793,True,True,10989.43,26.44,424037.0,0.2406,—
UCL.NS,2026-07-30,200.9499969482422,184.76249821980795,181.05416446261935,173.96899841308593,111.73899948120118,95.29899967193603,190.11377460472448,38.0,201.9499969482422,True,True,True,True,True,True,True,True,False,336.8478194527004,noise,29.94011976047904,False,False,False,False,,Chemicals & Petrochemicals,Dyes And Pigments,99.7564935064935,True,True,67.03,0.13,22276.0,0.1982,—
ATHERENERG.NS,2026-07-31,1260.300048828125,1250.7249857584636,1143.5958319769966,1099.2559997558594,876.2969986979167,827.5149990844726,1238.0003631143197,336.3500061035156,1345.0,True,True,True,True,True,True,True,True,False,265.5692672452864,noise,72.60334984434886,False,False,False,False,,Automobiles,2/3 Wheelers,99.43181818181817,True,True,49671.61,550.77,4370134.0,1.1088,—
PRIZOR.NS,2026-07-30,859.9500122070312,838.8250020345052,849.2444441053602,809.4740014648437,540.6866666666666,483.7345000457764,847.180797986277,216.64999389648438,939.2000122070312,True,True,True,True,True,True,True,True,False,255.79231405252418,noise,79.8782807151008,False,False,False,False,,Industrial Manufacturing,Industrial Products,99.35064935064936,True,True,194.79,0.4,22030.0,0.2061,—
HOACFOODS.NS,2026-07-30,730.5,713.8458353678385,682.8680572509766,659.5730017089844,471.46366739908854,430.915500869751,720.7739068822186,190.1999969482422,740.0,True,True,True,True,True,True,True,True,False,235.0149001495788,noise,41.58004158004158,False,False,False,False,,Food Products,Other Food Products,99.31006493506493,True,True,56.3,0.06,4165.0,0.1084,—
RPTECH.NS,2026-07-31,833.5499877929688,774.0499979654948,752.0861138237847,692.9020031738281,497.4930010986328,456.46550064086915,789.0343926115138,274.03069500955513,842.0,True,True,True,True,True,True,True,True,False,193.3916913605536,noise,25.314894199111222,False,True,True,False,,IT - Hardware,Computers Hardware & Equipments,99.10714285714286,True,True,5493.07,103.79,1245191.0,1.8895,—
