symbol,date,close,MA12,MA36,MA50,MA150,MA200,EMA10,52w_low,52w_high,cond1_price_above_150_200,cond2_ma150_above_ma200,cond3_ma200_trending_up_1m,cond4_ma50_above_150_200,cond5_price_above_ma50,cond6_30pct_above_52w_low,cond7_within_25pct_52w_high,cond9_price_above_ema10,fresh_ma12_cross_today,12m_return_pct,volume_signal,relative_volume,bull_snort,inside_bar,is_52w_high,is_52w_low,data_source,industry_group,industry,rs_percentile,cond8_rs_at_least_70,all_conditions_met,total_market_cap_cr,traded_value_cr,traded_volume,traded_val_pct_mc
AARVI.NS,2026-07-02,144.5,143.0500005086263,135.30361154344348,133.18680007934572,129.42119990030923,127.90404987335205,143.42792876582706,96.98999786376953,154.6999969482422,True,True,True,True,True,True,True,True,False,33.90161447705782,dry,15.979961050168786,False,True,False,False,,Commercial Services & Supplies,Diversified Commercial Services,85.95904722106143,True,True,,,,
ACCENTMIC.NS,2026-07-01,496.29998779296875,461.27916208902997,454.3249994913737,449.8990008544922,381.1260015869141,353.6118287658691,471.45820105934604,222.1395013843598,499.1000061035156,True,True,True,True,True,True,True,True,False,118.37497755859236,noise,74.55268389662028,False,False,True,False,,Pharmaceuticals & Biotechnology,Pharmaceuticals,97.24195570413706,True,True,,,,
ACCORD.NS,2026-07-01,154.14999389648438,117.86666425069173,78.63472165001764,69.10899978637696,41.39433326721191,36.43699994087219,125.51913572755329,19.850000381469727,154.14999389648438,True,True,True,True,True,True,True,True,False,564.4396070138469,ppv,121.95121951219512,False,False,True,False,,Telecom - Services,Other Telecom Services,99.87463435018805,True,True,,,,
ACUTAAS.NS,2026-07-02,3662.10009765625,3341.8166707356772,3137.3166775173613,2997.01201171875,2320.6886669921873,2139.2043212890626,3426.978604590431,1083.5966179268266,3692.89990234375,True,True,True,True,True,True,True,True,False,220.32758062692324,noise,63.565910158221165,False,False,True,False,,Pharmaceuticals & Biotechnology,Pharmaceuticals,98.9970748015044,True,True,,,,
ADANIENSOL.NS,2026-07-02,1552.0,1509.7916870117188,1476.638892279731,1448.8750024414062,1154.6033333333332,1100.2700009155274,1513.3220184121594,744.9000244140625,1614.800048828125,True,True,True,True,True,True,True,True,False,76.01360929968813,noise,66.14808190262848,False,False,False,False,,Power,Power Distribution,95.11073965733388,True,True,,,,
ADANIGREEN.NS,2026-07-02,1545.300048828125,1515.7250061035156,1467.302781846788,1419.9150024414062,1116.1903332519532,1100.5572500610351,1517.6968783083037,765.0,1557.0,True,True,True,True,True,True,True,True,False,50.67278525872396,noise,43.3091535097086,False,False,False,False,,Power,Power Generation,91.05725031341413,True,True,,,,
ADANIPORTS.NS,2026-07-02,1877.0,1819.4999898274739,1803.0883009168838,1770.8178588867188,1565.6081193033854,1533.33705078125,1823.5611013148125,1285.0840970824604,1881.699951171875,True,True,True,True,True,True,True,True,False,29.97590907323473,noise,89.95906360184517,False,True,True,False,,Transport Infrastructure,Port & Port services,84.32929377350607,True,True,,,,
ADFFOODS.NS,2026-07-02,323.54998779296875,307.2874984741211,285.761109246148,279.7321994018555,225.98599934895833,223.7753769683838,307.3005309661654,153.10000610351562,346.95001220703125,True,True,True,True,True,True,True,True,False,17.777570164679535,ppv,2083.947607257013,False,False,True,False,,Food Products,Packaged Foods,78.52068533221897,True,True,,,,
ABSLAMC.NS,2026-07-02,1177.800048828125,1160.8249918619792,1082.625,1074.4460009765626,927.766669108073,895.8342517089844,1156.6079309024115,708.0,1224.9000244140625,True,True,True,True,True,True,True,True,False,58.40887421127312,noise,25.39284330593149,False,False,False,False,,Capital Markets,Asset Management Company,92.60342666109486,True,True,,,,
ABCAPITAL.NS,2026-07-02,393.1000061035156,386.2124989827474,365.52083163791235,361.3209991455078,348.402666015625,338.6942497253418,386.7766852056058,243.0,399.3500061035156,True,True,True,True,True,True,True,True,False,42.118581861636216,noise,53.05939992946996,False,False,False,False,,Finance,Investment Company,89.00961136648559,True,True,,,,
AEROFLEX.NS,2026-07-02,474.3999938964844,486.33333079020184,435.3555552164714,408.000400390625,276.9375336710612,252.69340019226075,476.0445290468773,158.0,521.9000244140625,True,True,True,True,True,True,True,False,False,123.29947193630515,noise,54.55646516505192,False,False,False,False,,Industrial Products,Iron & Steel Products,97.36732135394902,True,True,,,,
AEROENTER.NS,2026-07-02,137.82000732421875,136.20583534240723,112.60638936360677,108.44080017089844,89.61473327636719,88.70084983825683,135.45413942770722,62.20000076293945,149.5500030517578,True,True,True,True,True,True,True,True,False,39.09159304194929,noise,54.88725660973268,False,False,False,False,,Industrial Products,Iron & Steel Products,87.92310906811534,True,True,,,,
AETHER.NS,2026-07-02,1373.5999755859375,1281.3583272298176,1169.83888414171,1174.0399975585938,1050.9673376464843,980.6405038452149,1306.0274207068205,726.4500122070312,1392.5,True,True,True,True,True,True,True,True,False,80.32162462565637,noise,74.35619332146958,False,False,True,False,,Chemicals & Petrochemicals,Specialty Chemicals,95.6122022565817,True,True,,,,
AIAENG.NS,2026-07-02,4793.0,4816.2249755859375,4464.700012207031,4318.098017578125,3993.312677408854,3820.036005859375,4841.816353319912,2985.486170743132,5180.0,True,True,True,True,True,True,True,False,False,44.93915946762079,noise,78.66582559339201,False,False,False,False,,Industrial Products,Castings & Forgings,89.97074801504388,True,True,,,,
AIMTRON.NS,2026-07-01,1234.949951171875,1245.7125040690105,1200.1361151801216,1162.5719995117188,943.5393334960937,900.4077490234375,1244.823661329354,615.0,1343.0,True,True,True,True,True,True,True,False,False,90.57869616849923,noise,42.151162790697676,False,True,False,False,,Industrial Manufacturing,Industrial Products,96.28081905557877,True,True,,,,
AJANTPHARM.NS,2026-07-02,3335.60009765625,3225.1499633789062,3121.141642252604,3068.5259765625,2889.366661783854,2782.955762939453,3268.6676771068646,2304.0552404050886,3506.89990234375,True,True,True,True,True,True,True,True,False,33.812661736853265,noise,35.480821489530456,False,False,False,False,,Pharmaceuticals & Biotechnology,Pharmaceuticals,85.8754701211868,True,True,,,,
AKUMS.NS,2026-07-02,634.7000122070312,611.2901865641276,565.164316813151,557.6859069824219,491.02930541992185,481.6502325439453,615.508004125013,407.3535649008122,640.0,True,True,True,True,True,True,True,True,False,10.81368886607974,noise,40.63259717554668,False,False,True,False,,Pharmaceuticals & Biotechnology,Pharmaceuticals,74.00752193898872,True,True,,,,
ALIVUS.NS,2026-07-02,1160.300048828125,1101.9250183105469,1066.8555619981553,1067.8160070800782,975.4823360188802,964.2895016479492,1117.0423671440383,819.0,1192.0,True,True,True,True,True,True,True,True,False,17.280635645439823,ppv,273.1750383521513,False,False,True,False,,Pharmaceuticals & Biotechnology,Pharmaceuticals,78.26995403259507,True,True,,,,
